"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.921771127E2,6.031329167E1,2.503276167E1,2.819789757E1,1.722775221E0,3.290899963E2,1.600000024E0,3.400000095E0
1.931762157E2,6.031330333E1,2.503275333E1,2.799786788E1,1.699612737E0,3.416600037E2,1.600000024E0,3.400000095E0
1.941753000E2,6.031331667E1,2.503274667E1,2.809783994E1,1.659464478E0,3.527500000E2,1.600000024E0,3.400000095E0
1.951730689E2,6.031333000E1,2.503274000E1,2.809781201E1,1.624463320E0,3.558800049E2,1.500000000E0,3.299999952E0
1.961958370E2,6.031334500E1,2.503274167E1,2.839779981E1,1.596668363E0,1.669999957E0,1.500000000E0,3.400000095E0
1.971640542E2,6.031335833E1,2.503274667E1,2.839779635E1,1.559093595E0,9.050000191E0,1.500000000E0,3.400000095E0
1.981771801E2,6.031337333E1,2.503275833E1,2.819780514E1,1.548284411E0,1.338000011E1,1.500000000E0,3.400000095E0
1.991711422E2,6.031338833E1,2.503276333E1,2.839779993E1,1.539534211E0,1.832999992E1,1.500000000E0,3.400000095E0
2.001761317E2,6.031340333E1,2.503277000E1,2.829779823E1,1.510709763E0,1.826000023E1,1.500000000E0,3.400000095E0
2.011753640E2,6.031341833E1,2.503277667E1,2.829779652E1,1.483944178E0,1.852000046E1,1.500000000E0,3.400000095E0
2.022030252E2,6.031343167E1,2.503278333E1,2.809779656E1,1.457693338E0,1.794000053E1,1.399999976E0,3.400000095E0
2.031772795E2,6.031344333E1,2.503278833E1,2.799779485E1,1.445854664E0,1.807999992E1,1.399999976E0,3.400000095E0
2.041722438E2,6.031345667E1,2.503279500E1,2.799779488E1,1.432471991E0,1.884000015E1,1.399999976E0,3.400000095E0
2.051752649E2,6.031346833E1,2.503280333E1,2.759780016E1,1.434016109E0,1.915999985E1,1.500000000E0,3.400000095E0
2.061738635E2,6.031348000E1,2.503280500E1,2.739779145E1,1.435560226E0,1.979000092E1,1.600000024E0,3.400000095E0
2.071652850E2,6.031349167E1,2.503281167E1,2.719779324E1,1.447398901E0,2.026000023E1,1.600000024E0,3.400000095E0
2.081783788E2,6.031350167E1,2.503281833E1,2.739779676E1,1.456663847E0,2.054000092E1,1.600000024E0,3.400000095E0
